time,hr
1455101109075,63
1455101109094,63
1455101109109,63
1455101109128,63
1455101109145,63
1455101109164,63
1455101121917,72
1455101142608,85
1455101152908,70
1455101172562,68
1455101181950,75
1455101191957,86
1455101206918,75
1455101219957,67
1455101238001,63
1455101248072,56
1455101264107,65
1455101279075,82
1455101292128,75
1455101303160,65
1455101312144,77
1455101332826,56
1455101348187,58
1455101357252,77
1455101368259,56
1455101379268,58
1455101393302,70
1455101402318,79
1455101412326,77
1455101423359,72
1455101432399,77
1455101443431,63
1455101454440,56
1455101468475,63
1455101481530,56
1455101493569,58
1455101506576,60
1455101528282,60
1455101538694,58
1455101550699,65
1455101562738,65
1455101572753,67
1455101584782,63
1455101599824,63
1455101612865,75
1455101623897,70
1455101632927,70
1455101642956,70
1455101653002,79
1455101663020,77
1455101673066,77
1455101684075,63
1455101693131,65
1455101703095,72
1455101713105,70
1455101723117,60
1455101735103,70
1455101750114,65
1455101765152,60
1455101778320,65
